date,symbol,action,signal,price,shares,amount,net_profit_pct,net_profit_usd
2026-04-01T06:13:06.377129+00:00,AAPL,BUY,BUY,247.91,80,19832.8,0.0,0.0
2026-04-01T06:13:06.596880+00:00,PLTR,BUY,BUY,140.02,114,15962.28,0.0,0.0
2026-04-01T06:13:06.820393+00:00,NVDA,BUY,BUY,166.97,76,12689.72,0.0,0.0
